ID,Category,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer,Explanation
1,土質及び基礎,土質及び基礎のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,A,テスト用の解説
2,道路,道路部門のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,B,テスト用の解説
3,河川、砂防及び海岸・海洋,河川砂防のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,C,テスト用の解説
4,基礎科目,基礎科目のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,D,テスト用の解説
5,都市計画及び地方計画,都市計画のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,A,テスト用の解説
6,造園,造園部門のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,B,テスト用の解説
7,建設環境,建設環境のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,C,テスト用の解説
8,鋼構造及びコンクリート,鋼構造のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,D,テスト用の解説
9,施工計画・施工設備及び積算,施工計画のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,A,テスト用の解説
10,上水道及び工業用水道,上水道のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,B,テスト用の解説
11,土質及び基礎,地盤の支持力に関する問題,N値が10の砂質土,N値が5の粘性土,N値が30の砂礫層,N値が20の硬質粘土,C,地盤支持力はN値と土質により決まります。砂礫層のN値30が最も高い支持力を示します。
12,土質及び基礎,基礎の種類について正しいものはどれか,直接基礎は深い支持層に適する,杭基礎は浅い支持層に適する,ベタ基礎は軟弱地盤に適する,独立基礎は大規模建築に適する,C,ベタ基礎は建物全体の荷重を面で支えるため、軟弱地盤に適しています。
13,土質及び基礎,土の圧密に関する記述で誤りはどれか,圧密は主に粘性土で発生する,圧密により地盤沈下が生じる,圧密は瞬時に完了する,圧密により土の密度が増加する,C,圧密は時間をかけて進行する現象で、瞬時には完了しません。
14,土質及び基礎,液状化現象が発生しやすい条件はどれか,密な砂地盤,緩い飽和砂地盤,硬質粘土地盤,岩盤,B,液状化は緩い飽和砂地盤で地震時に発生しやすい現象です。
15,土質及び基礎,土留め工法として適切でないものはどれか,親杭横矢板工法,鋼矢板工法,地中連続壁工法,表面処理工法,D,表面処理工法は土留め工法ではなく、地盤改良工法の一種です。
16,土質及び基礎,ボーリング調査で得られる情報として誤りはどれか,地層構成,地下水位,土の強度,建物の沈下量,D,建物の沈下量は調査時点では得られず、設計計算により予測します。
17,土質及び基礎,斜面安定に関する記述で正しいものはどれか,安全率は1.0以上で十分,切土は常に盛土より安定,地下水は斜面安定に影響しない,円弧すべりは粘性土斜面で生じやすい,D,円弧すべりは粘性土斜面で典型的に発生する破壊形態です。
18,土質及び基礎,地盤改良工法として適切でないものはどれか,深層混合処理工法,サンドコンパクションパイル工法,プレロード工法,アスファルト舗装工法,D,アスファルト舗装は地盤改良工法ではなく、表面処理です。
19,土質及び基礎,土の透水性に関する記述で正しいものはどれか,粘土は砂より透水性が高い,透水係数は土粒子の大きさに無関係,ダルシーの法則は層流に適用される,透水性は地下水位に影響しない,C,ダルシーの法則は層流状態の浸透流に適用される基本法則です。
20,土質及び基礎,擁壁の安定性で検討不要なものはどれか,転倒に対する安定,滑動に対する安定,支持力に対する安定,風圧に対する安定,D,擁壁の安定性検討では風圧は通常考慮しません。
21,土質及び基礎,標準貫入試験のN値に関する記述で誤りはどれか,63.5kgのハンマーを使用,75cmの高さから落下,30cm貫入の打撃回数,礫層では過小評価される,D,礫層ではN値が過大評価される傾向があります。
22,土質及び基礎,地震時の地盤挙動で正しいものはどれか,硬い地盤ほど揺れが大きい,軟弱地盤は揺れを減衰させる,表層地盤により地震動が増幅される,地下水位は揺れに影響しない,C,表層の軟弱地盤により地震動が増幅される現象が知られています。
23,土質及び基礎,盛土の施工管理で重要でないものはどれか,締固め度の管理,含水比の管理,層厚の管理,気温の管理,D,盛土施工では締固め度、含水比、層厚の管理が重要で、気温は直接的な管理項目ではありません。
24,土質及び基礎,土の分類で正しい組み合わせはどれか,礫-2mm以上75mm未満,砂-0.075mm以上2mm未満,シルト-0.005mm以上0.075mm未満,粘土-0.005mm未満,A,日本統一土質分類法による粒径区分の定義です。
25,土質及び基礎,杭の支持力で考慮しないものはどれか,先端支持力,周面摩擦力,群杭効果,杭の色,D,杭の支持力計算では色は関係ありません。
26,土質及び基礎,土圧に関する記述で誤りはどれか,主動土圧<静止土圧<受動土圧,土圧は深さとともに増加,粘着力は土圧を減少させる,地下水は土圧に影響しない,D,地下水は水圧として土圧に加算されるため、大きく影響します。
27,土質及び基礎,地盤調査法と適用で誤った組み合わせはどれか,標準貫入試験-N値測定,孔内水平載荷試験-変形係数測定,PS検層-せん断波速度測定,平板載荷試験-透水係数測定,D,平板載荷試験は地盤反力係数の測定に用いられます。
28,土質及び基礎,軟弱地盤対策工法として不適切なものはどれか,バーチカルドレーン工法,真空圧密工法,載荷盛土工法,表層改良工法,D,表層改良工法は浅い改良で、深い軟弱地盤には不適切です。
29,土質及び基礎,土の締固めに関する記述で正しいものはどれか,最適含水比で最大乾燥密度となる,含水比が高いほど締固めやすい,締固めエネルギーと密度は無関係,粘性土は砂質土より締固めやすい,A,最適含水比で締固めると最大乾燥密度が得られます。
30,土質及び基礎,基礎の設計で考慮すべき沈下はどれか,即時沈下のみ,圧密沈下のみ,即時沈下と圧密沈下,沈下は考慮不要,C,基礎設計では即時沈下と圧密沈下の両方を考慮する必要があります。
31,都市計画及び地方計画,都市計画法における都市計画区域の指定権者は誰か,市町村長,都道府県知事,国土交通大臣,内閣総理大臣,B,都市計画区域は都道府県知事が指定します。
32,都市計画及び地方計画,用途地域の種類として存在しないものはどれか,第一種低層住居専用地域,中高層住居専用地域,商業地域,農業地域,D,農業地域は用途地域には含まれません。
33,都市計画及び地方計画,建ぺい率の定義として正しいものはどれか,建築面積÷敷地面積,延床面積÷敷地面積,建築面積÷延床面積,高さ÷敷地面積,A,建ぺい率は建築面積の敷地面積に対する割合です。
34,都市計画及び地方計画,都市計画マスタープランの策定主体はどれか,国,都道府県,市町村,民間企業,C,市町村が都市計画マスタープランを策定します。
35,都市計画及び地方計画,市街化区域と市街化調整区域の区分を何というか,区域区分,地域地区,都市施設,市街地開発事業,A,市街化区域と市街化調整区域の区分を区域区分（線引き）といいます。
36,都市計画及び地方計画,都市計画事業の認可権者として誤りはどれか,国土交通大臣,都道府県知事,市町村長,地方整備局長,C,市町村長は都市計画事業の認可権者ではありません。
37,都市計画及び地方計画,地区計画で定められない事項はどれか,建築物の用途,建築物の高さ,壁面の位置,固定資産税率,D,地区計画では税率は定められません。
38,都市計画及び地方計画,都市再生特別地区の特徴として誤りはどれか,容積率の最高限度を定める,高さの最高限度を定める,用途地域等に基づく制限を適用除外できる,農地転用が自由にできる,D,都市再生特別地区でも農地転用は別途手続きが必要です。
39,都市計画及び地方計画,土地区画整理事業の換地計画で誤りはどれか,照応の原則に従う,清算金が発生する場合がある,従前の土地と換地は必ず同面積,保留地を設定できる,C,換地は必ずしも同面積ではなく、価値の均衡を図ります。
40,都市計画及び地方計画,都市計画道路の区分で存在しないものはどれか,自動車専用道路,幹線街路,区画街路,高速街路,D,高速街路という区分は存在しません。
41,都市計画及び地方計画,開発許可が不要な開発行為の規模はどれか（市街化区域）,500㎡未満,1000㎡未満,3000㎡未満,5000㎡未満,B,市街化区域では原則1000㎡未満は開発許可不要です。
42,都市計画及び地方計画,都市公園の種類として誤りはどれか,街区公園,近隣公園,総合公園,産業公園,D,産業公園は都市公園の種類には含まれません。
43,都市計画及び地方計画,景観法に基づく景観計画の策定主体はどれか,国,都道府県,景観行政団体,住民,C,景観計画は景観行政団体が策定します。
44,都市計画及び地方計画,コンパクトシティの概念と矛盾するものはどれか,公共交通の充実,都市機能の集約,市街地の外延的拡大,歩いて暮らせるまちづくり,C,コンパクトシティは市街地の拡大を抑制する概念です。
45,都市計画及び地方計画,立地適正化計画で定める区域でないものはどれか,居住誘導区域,都市機能誘導区域,居住調整地域,工業誘導区域,D,工業誘導区域は立地適正化計画では定められません。
46,都市計画及び地方計画,都市計画税の課税対象として正しいものはどれか,市街化区域内の土地・家屋,市街化調整区域内の土地・家屋,都市計画区域外の土地・家屋,全ての土地・家屋,A,都市計画税は原則として市街化区域内の土地・家屋に課税されます。
47,都市計画及び地方計画,都市計画の決定手続きで必要ないものはどれか,案の縦覧,意見書の提出,都市計画審議会の議,住民投票,D,都市計画決定に住民投票は必要ありません。
48,都市計画及び地方計画,防火地域・準防火地域の指定目的はどれか,景観の保全,防火・防災,産業振興,自然環境保護,B,防火地域等は市街地の防火・防災を目的に指定されます。
49,都市計画及び地方計画,市民参加の都市計画手法として適切でないものはどれか,パブリックコメント,ワークショップ,都市計画提案制度,強制収用,D,強制収用は市民参加手法ではありません。
50,都市計画及び地方計画,都市計画基礎調査の実施頻度はどれか,毎年,3年ごと,5年ごと,10年ごと,C,都市計画基礎調査は概ね5年ごとに実施されます。